SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42015,1610612761,TOR,Toronto Raptors,0041500306,2016-05-27,TOR vs. CLE,L,240,87,33,79,0.418,8,25,0.32,13,17,0.765,7,26,33,10,6,2,12,19,-26.0
42015,1610612761,TOR,Toronto Raptors,0041500305,2016-05-25,TOR @ CLE,L,239,78,27,69,0.391,3,17,0.176,21,35,0.6,5,22,27,19,9,3,18,25,-38.0
42015,1610612761,TOR,Toronto Raptors,0041500304,2016-05-23,TOR vs. CLE,W,239,105,42,78,0.538,7,22,0.318,14,19,0.737,9,26,35,17,8,3,8,16,6.0
42015,1610612761,TOR,Toronto Raptors,0041500303,2016-05-21,TOR vs. CLE,W,241,99,38,83,0.458,12,31,0.387,11,13,0.846,12,42,54,15,1,4,9,17,15.0
42015,1610612761,TOR,Toronto Raptors,0041500302,2016-05-19,TOR @ CLE,L,239,89,33,82,0.402,9,33,0.273,14,18,0.778,7,31,38,17,6,4,12,31,-19.0
42015,1610612761,TOR,Toronto Raptors,0041500301,2016-05-17,TOR @ CLE,L,242,84,32,76,0.421,5,24,0.208,15,20,0.75,4,19,23,19,8,1,14,25,-31.0
42015,1610612761,TOR,Toronto Raptors,0041500217,2016-05-15,TOR vs. MIA,W,241,116,39,85,0.459,9,20,0.45,29,43,0.674,20,30,50,17,8,4,9,23,27.0
42015,1610612761,TOR,Toronto Raptors,0041500216,2016-05-13,TOR @ MIA,L,240,91,34,82,0.415,4,16,0.25,19,25,0.76,8,35,43,10,4,4,8,18,-12.0
42015,1610612761,TOR,Toronto Raptors,0041500215,2016-05-11,TOR vs. MIA,W,239,99,35,81,0.432,7,17,0.412,22,26,0.846,11,28,39,16,10,7,9,20,8.0
42015,1610612761,TOR,Toronto Raptors,0041500214,2016-05-09,TOR @ MIA,L,266,87,33,84,0.393,6,20,0.3,15,19,0.789,7,32,39,12,7,2,14,23,-7.0
42015,1610612761,TOR,Toronto Raptors,0041500213,2016-05-07,TOR @ MIA,W,240,95,33,70,0.471,8,18,0.444,21,28,0.75,6,29,35,16,5,0,13,22,4.0
42015,1610612761,TOR,Toronto Raptors,0041500212,2016-05-05,TOR vs. MIA,W,266,96,39,93,0.419,4,18,0.222,14,26,0.538,13,26,39,14,15,1,9,21,4.0
42015,1610612761,TOR,Toronto Raptors,0041500211,2016-05-03,TOR vs. MIA,L,265,96,40,89,0.449,5,21,0.238,11,15,0.733,4,37,41,19,10,6,15,25,-6.0
42015,1610612761,TOR,Toronto Raptors,0041500117,2016-05-01,TOR vs. IND,W,240,89,34,89,0.382,8,24,0.333,13,17,0.765,18,31,49,21,7,7,8,12,5.0
42015,1610612761,TOR,Toronto Raptors,0041500116,2016-04-29,TOR @ IND,L,241,83,29,79,0.367,9,29,0.31,16,25,0.64,15,25,40,14,9,5,16,23,-18.0
42015,1610612761,TOR,Toronto Raptors,0041500115,2016-04-26,TOR vs. IND,W,241,102,33,82,0.402,6,26,0.231,30,35,0.857,12,29,41,12,9,3,7,18,3.0
42015,1610612761,TOR,Toronto Raptors,0041500114,2016-04-23,TOR @ IND,L,239,83,27,74,0.365,8,30,0.267,21,30,0.7,11,29,40,12,8,3,17,20,-17.0
42015,1610612761,TOR,Toronto Raptors,0041500113,2016-04-21,TOR @ IND,W,239,101,39,94,0.415,10,31,0.323,13,16,0.813,15,30,45,18,6,4,11,27,16.0
42015,1610612761,TOR,Toronto Raptors,0041500112,2016-04-18,TOR vs. IND,W,240,98,35,80,0.438,5,18,0.278,23,25,0.92,12,32,44,19,8,5,13,25,11.0
42015,1610612761,TOR,Toronto Raptors,0041500111,2016-04-16,TOR vs. IND,L,240,90,30,79,0.38,4,19,0.211,26,38,0.684,20,32,52,17,6,5,19,27,-10.0
22015,1610612761,TOR,Toronto Raptors,0021501218,2016-04-13,TOR @ BKN,W,241,103,41,93,0.441,13,37,0.351,8,15,0.533,16,41,57,24,5,10,9,12,7.0
22015,1610612761,TOR,Toronto Raptors,0021501214,2016-04-12,TOR vs. PHI,W,239,122,48,95,0.505,10,25,0.4,16,19,0.842,16,36,52,25,11,5,13,20,24.0
22015,1610612761,TOR,Toronto Raptors,0021501202,2016-04-10,TOR @ NYK,W,240,93,37,78,0.474,7,20,0.35,12,19,0.632,7,31,38,19,4,6,6,19,4.0
22015,1610612761,TOR,Toronto Raptors,0021501183,2016-04-08,TOR vs. IND,W,241,111,37,68,0.544,10,22,0.455,27,38,0.711,5,31,36,21,4,5,16,19,13.0
22015,1610612761,TOR,Toronto Raptors,0021501173,2016-04-07,TOR @ ATL,L,240,87,32,84,0.381,8,21,0.381,15,20,0.75,8,38,46,16,10,4,11,16,-8.0
22015,1610612761,TOR,Toronto Raptors,0021501156,2016-04-05,TOR vs. CHA,W,241,96,34,78,0.436,6,23,0.261,22,31,0.71,7,40,47,19,6,8,11,16,6.0
22015,1610612761,TOR,Toronto Raptors,0021501140,2016-04-02,TOR @ SAS,L,241,95,40,80,0.5,6,18,0.333,9,10,0.9,6,26,32,18,8,3,13,21,-7.0
22015,1610612761,TOR,Toronto Raptors,0021501132,2016-04-01,TOR @ MEM,W,239,99,30,71,0.423,12,28,0.429,27,29,0.931,11,30,41,16,8,12,18,19,4.0
22015,1610612761,TOR,Toronto Raptors,0021501113,2016-03-30,TOR vs. ATL,W,240,105,36,80,0.45,11,23,0.478,22,28,0.786,8,36,44,26,14,4,11,19,8.0
22015,1610612761,TOR,Toronto Raptors,0021501098,2016-03-28,TOR vs. OKC,L,239,100,38,93,0.409,8,24,0.333,16,23,0.696,12,28,40,19,4,7,9,21,-19.0
22015,1610612761,TOR,Toronto Raptors,0021501084,2016-03-26,TOR @ NOP,W,239,115,39,73,0.534,12,29,0.414,25,28,0.893,7,41,48,24,6,7,13,18,24.0
22015,1610612761,TOR,Toronto Raptors,0021501077,2016-03-25,TOR @ HOU,L,240,109,39,94,0.415,13,31,0.419,18,26,0.692,15,30,45,23,9,5,10,24,-3.0
22015,1610612761,TOR,Toronto Raptors,0021501057,2016-03-23,TOR @ BOS,L,239,79,31,89,0.348,6,22,0.273,11,20,0.55,15,37,52,13,3,7,11,15,-12.0
22015,1610612761,TOR,Toronto Raptors,0021501038,2016-03-20,TOR vs. ORL,W,240,105,35,81,0.432,6,20,0.3,29,45,0.644,14,31,45,18,8,7,10,18,5.0
22015,1610612761,TOR,Toronto Raptors,0021501023,2016-03-18,TOR vs. BOS,W,242,105,37,77,0.481,13,28,0.464,18,25,0.72,7,33,40,18,10,8,12,19,14.0
22015,1610612761,TOR,Toronto Raptors,0021501012,2016-03-17,TOR @ IND,W,264,101,32,88,0.364,7,22,0.318,30,38,0.789,15,42,57,11,5,5,14,21,7.0
22015,1610612761,TOR,Toronto Raptors,0021501000,2016-03-15,TOR @ MIL,W,242,107,39,83,0.47,14,30,0.467,15,17,0.882,13,35,48,27,4,8,9,23,18.0
22015,1610612761,TOR,Toronto Raptors,0021500991,2016-03-14,TOR vs. CHI,L,241,107,37,83,0.446,6,20,0.3,27,31,0.871,10,32,42,12,5,9,5,18,-2.0
22015,1610612761,TOR,Toronto Raptors,0021500977,2016-03-12,TOR vs. MIA,W,265,112,37,84,0.44,6,18,0.333,32,38,0.842,7,35,42,17,10,7,13,23,8.0
22015,1610612761,TOR,Toronto Raptors,0021500959,2016-03-10,TOR vs. ATL,W,241,104,38,82,0.463,7,24,0.292,21,29,0.724,11,37,48,16,6,3,13,24,8.0
22015,1610612761,TOR,Toronto Raptors,0021500944,2016-03-08,TOR vs. BKN,W,240,104,37,78,0.474,10,23,0.435,20,25,0.8,12,28,40,24,9,7,16,15,5.0
22015,1610612761,TOR,Toronto Raptors,0021500936,2016-03-06,TOR vs. HOU,L,238,107,37,77,0.481,12,33,0.364,21,27,0.778,7,35,42,27,8,6,15,24,-6.0
22015,1610612761,TOR,Toronto Raptors,0021500916,2016-03-04,TOR vs. POR,W,242,117,34,67,0.507,6,12,0.5,43,54,0.796,9,29,38,12,5,4,13,30,2.0
22015,1610612761,TOR,Toronto Raptors,0021500900,2016-03-02,TOR vs. UTA,W,241,104,40,80,0.5,6,22,0.273,18,21,0.857,10,35,45,12,7,5,9,18,10.0
22015,1610612761,TOR,Toronto Raptors,0021500879,2016-02-28,TOR @ DET,L,241,101,39,80,0.488,10,21,0.476,13,18,0.722,8,24,32,21,5,1,5,24,-13.0
22015,1610612761,TOR,Toronto Raptors,0021500864,2016-02-26,TOR vs. CLE,W,240,99,37,73,0.507,6,17,0.353,19,26,0.731,5,29,34,18,6,0,11,23,2.0
22015,1610612761,TOR,Toronto Raptors,0021500849,2016-02-24,TOR vs. MIN,W,238,114,41,85,0.482,10,26,0.385,22,26,0.846,13,26,39,21,7,7,12,22,9.0
22015,1610612761,TOR,Toronto Raptors,0021500835,2016-02-22,TOR @ NYK,W,240,122,46,87,0.529,11,25,0.44,19,25,0.76,13,34,47,26,7,6,6,19,27.0
22015,1610612761,TOR,Toronto Raptors,0021500829,2016-02-21,TOR vs. MEM,W,240,98,33,81,0.407,7,28,0.25,25,31,0.806,9,38,47,12,4,2,12,22,13.0
22015,1610612761,TOR,Toronto Raptors,0021500809,2016-02-19,TOR @ CHI,L,240,106,38,88,0.432,5,18,0.278,25,34,0.735,11,34,45,22,7,7,8,19,-10.0
22015,1610612761,TOR,Toronto Raptors,0021500797,2016-02-10,TOR @ MIN,L,241,112,39,86,0.453,10,31,0.323,24,32,0.75,11,29,40,19,3,10,6,34,-5.0
22015,1610612761,TOR,Toronto Raptors,0021500779,2016-02-08,TOR @ DET,W,240,103,39,70,0.557,11,20,0.55,14,17,0.824,2,34,36,22,11,2,15,22,14.0
22015,1610612761,TOR,Toronto Raptors,0021500748,2016-02-04,TOR @ POR,W,240,110,40,85,0.471,12,19,0.632,18,25,0.72,12,33,45,23,7,6,14,18,7.0
22015,1610612761,TOR,Toronto Raptors,0021500732,2016-02-02,TOR @ PHX,W,241,104,35,74,0.473,9,27,0.333,25,32,0.781,8,27,35,15,9,3,12,22,7.0
22015,1610612761,TOR,Toronto Raptors,0021500727,2016-02-01,TOR @ DEN,L,240,93,29,78,0.372,8,25,0.32,27,39,0.692,9,26,35,13,13,6,12,17,-19.0
22015,1610612761,TOR,Toronto Raptors,0021500708,2016-01-30,TOR vs. DET,W,241,111,36,78,0.462,4,14,0.286,35,47,0.745,13,32,45,12,9,3,13,20,4.0
22015,1610612761,TOR,Toronto Raptors,0021500694,2016-01-28,TOR vs. NYK,W,239,103,37,85,0.435,8,20,0.4,21,29,0.724,15,35,50,21,7,11,10,19,10.0
22015,1610612761,TOR,Toronto Raptors,0021500680,2016-01-26,TOR vs. WAS,W,241,106,35,79,0.443,11,29,0.379,25,32,0.781,11,37,48,20,7,3,15,22,17.0
22015,1610612761,TOR,Toronto Raptors,0021500666,2016-01-24,TOR vs. LAC,W,240,112,41,83,0.494,12,22,0.545,18,26,0.692,8,36,44,19,8,3,15,26,18.0
22015,1610612761,TOR,Toronto Raptors,0021500649,2016-01-22,TOR vs. MIA,W,242,101,35,75,0.467,13,25,0.52,18,21,0.857,6,35,41,19,4,8,12,15,20.0
22015,1610612761,TOR,Toronto Raptors,0021500633,2016-01-20,TOR vs. BOS,W,240,115,46,83,0.554,11,29,0.379,12,17,0.706,9,28,37,23,7,5,13,15,6.0
22015,1610612761,TOR,Toronto Raptors,0021500621,2016-01-18,TOR vs. BKN,W,241,112,43,85,0.506,13,24,0.542,13,18,0.722,8,28,36,24,8,4,7,17,12.0
22015,1610612761,TOR,Toronto Raptors,0021500588,2016-01-14,TOR @ ORL,W,267,106,37,90,0.411,8,24,0.333,24,31,0.774,11,36,47,20,11,11,10,16,3.0
22015,1610612761,TOR,Toronto Raptors,0021500554,2016-01-09,TOR @ PHI,W,242,108,41,75,0.547,5,17,0.294,21,27,0.778,6,31,37,19,7,7,13,16,13.0
22015,1610612761,TOR,Toronto Raptors,0021500540,2016-01-08,TOR @ WAS,W,240,97,34,75,0.453,5,14,0.357,24,26,0.923,6,41,47,11,7,13,22,18,9.0
22015,1610612761,TOR,Toronto Raptors,0021500529,2016-01-06,TOR @ BKN,W,240,91,35,80,0.438,4,22,0.182,17,18,0.944,12,37,49,16,12,7,17,15,17.0
22015,1610612761,TOR,Toronto Raptors,0021500511,2016-01-04,TOR @ CLE,L,240,100,36,73,0.493,8,19,0.421,20,29,0.69,8,18,26,24,9,5,9,19,-22.0
22015,1610612761,TOR,Toronto Raptors,0021500507,2016-01-03,TOR vs. CHI,L,240,113,42,92,0.457,13,31,0.419,16,19,0.842,13,24,37,21,6,8,8,19,-2.0
22015,1610612761,TOR,Toronto Raptors,0021500492,2016-01-01,TOR vs. CHA,W,240,104,36,91,0.396,15,33,0.455,17,18,0.944,20,34,54,21,6,4,13,19,10.0
22015,1610612761,TOR,Toronto Raptors,0021500477,2015-12-30,TOR vs. WAS,W,240,94,28,82,0.341,6,24,0.25,32,39,0.821,15,40,55,14,5,6,16,16,3.0
22015,1610612761,TOR,Toronto Raptors,0021500463,2015-12-28,TOR @ CHI,L,240,97,38,88,0.432,6,20,0.3,15,24,0.625,11,35,46,23,5,5,7,19,-7.0
22015,1610612761,TOR,Toronto Raptors,0021500441,2015-12-26,TOR @ MIL,W,239,111,42,81,0.519,13,29,0.448,14,19,0.737,9,35,44,31,7,10,8,17,21.0
22015,1610612761,TOR,Toronto Raptors,0021500421,2015-12-22,TOR vs. DAL,W,241,103,35,74,0.473,12,26,0.462,21,27,0.778,10,43,53,20,4,4,17,19,4.0
22015,1610612761,TOR,Toronto Raptors,0021500408,2015-12-20,TOR vs. SAC,L,240,94,35,94,0.372,8,29,0.276,16,17,0.941,13,36,49,12,8,3,12,18,-10.0
22015,1610612761,TOR,Toronto Raptors,0021500390,2015-12-18,TOR @ MIA,W,240,108,41,80,0.513,8,21,0.381,18,22,0.818,6,32,38,18,11,5,7,12,14.0
22015,1610612761,TOR,Toronto Raptors,0021500383,2015-12-17,TOR @ CHA,L,265,99,35,97,0.361,9,39,0.231,20,28,0.714,9,37,46,18,7,10,8,22,-10.0
22015,1610612761,TOR,Toronto Raptors,0021500357,2015-12-14,TOR @ IND,L,240,90,29,79,0.367,10,28,0.357,22,26,0.846,15,30,45,10,9,6,18,21,-16.0
22015,1610612761,TOR,Toronto Raptors,0021500355,2015-12-13,TOR vs. PHI,W,242,96,32,78,0.41,7,22,0.318,25,34,0.735,8,33,41,14,11,9,8,15,20.0
22015,1610612761,TOR,Toronto Raptors,0021500337,2015-12-11,TOR vs. MIL,W,240,90,34,70,0.486,7,20,0.35,15,23,0.652,7,32,39,16,9,8,16,23,7.0
22015,1610612761,TOR,Toronto Raptors,0021500323,2015-12-09,TOR vs. SAS,W,240,97,37,64,0.578,3,10,0.3,20,22,0.909,4,30,34,23,10,2,20,24,3.0
22015,1610612761,TOR,Toronto Raptors,0021500308,2015-12-07,TOR vs. LAL,W,240,102,34,74,0.459,9,25,0.36,25,32,0.781,8,30,38,18,7,2,7,13,9.0
22015,1610612761,TOR,Toronto Raptors,0021500290,2015-12-05,TOR vs. GSW,L,239,109,40,91,0.44,8,20,0.4,21,26,0.808,11,27,38,21,9,3,6,27,-3.0
22015,1610612761,TOR,Toronto Raptors,0021500278,2015-12-03,TOR vs. DEN,L,240,105,39,92,0.424,8,27,0.296,19,22,0.864,9,30,39,21,9,3,4,16,-1.0
22015,1610612761,TOR,Toronto Raptors,0021500272,2015-12-02,TOR @ ATL,W,241,96,36,79,0.456,6,25,0.24,18,24,0.75,8,42,50,12,10,5,12,18,10.0
22015,1610612761,TOR,Toronto Raptors,0021500250,2015-11-29,TOR vs. PHX,L,240,102,38,86,0.442,12,29,0.414,14,17,0.824,8,35,43,19,6,7,11,17,-5.0
22015,1610612761,TOR,Toronto Raptors,0021500239,2015-11-28,TOR @ WAS,W,240,84,31,72,0.431,11,24,0.458,11,14,0.786,6,42,48,17,8,7,22,21,2.0
22015,1610612761,TOR,Toronto Raptors,0021500219,2015-11-25,TOR vs. CLE,W,240,103,40,79,0.506,11,25,0.44,12,22,0.545,6,34,40,14,8,5,9,15,4.0
22015,1610612761,TOR,Toronto Raptors,0021500196,2015-11-22,TOR @ LAC,W,240,91,29,78,0.372,4,17,0.235,29,31,0.935,14,32,46,15,8,0,14,19,11.0
22015,1610612761,TOR,Toronto Raptors,0021500188,2015-11-20,TOR @ LAL,W,241,102,34,78,0.436,15,33,0.455,19,24,0.792,12,29,41,21,7,3,12,15,11.0
22015,1610612761,TOR,Toronto Raptors,0021500173,2015-11-18,TOR @ UTA,L,241,89,34,80,0.425,5,20,0.25,16,18,0.889,9,28,37,14,10,4,14,17,-4.0
22015,1610612761,TOR,Toronto Raptors,0021500164,2015-11-17,TOR @ GSW,L,240,110,37,79,0.468,6,18,0.333,30,39,0.769,12,28,40,18,11,2,18,25,-5.0
22015,1610612761,TOR,Toronto Raptors,0021500150,2015-11-15,TOR @ SAC,L,241,101,38,87,0.437,15,31,0.484,10,14,0.714,7,29,36,18,13,1,15,20,-6.0
22015,1610612761,TOR,Toronto Raptors,0021500131,2015-11-13,TOR vs. NOP,W,239,100,34,77,0.442,9,21,0.429,23,27,0.852,13,35,48,19,8,5,15,19,19.0
22015,1610612761,TOR,Toronto Raptors,0021500115,2015-11-11,TOR @ PHI,W,241,119,43,89,0.483,5,18,0.278,28,31,0.903,17,39,56,22,7,7,8,18,16.0
22015,1610612761,TOR,Toronto Raptors,0021500109,2015-11-10,TOR vs. NYK,L,240,109,37,84,0.44,4,17,0.235,31,39,0.795,14,35,49,25,7,6,11,17,-2.0
22015,1610612761,TOR,Toronto Raptors,0021500096,2015-11-08,TOR @ MIA,L,240,76,28,71,0.394,3,19,0.158,17,22,0.773,7,31,38,17,8,5,16,21,-20.0
22015,1610612761,TOR,Toronto Raptors,0021500075,2015-11-06,TOR @ ORL,L,241,87,30,86,0.349,5,23,0.217,22,29,0.759,15,29,44,13,5,5,9,18,-5.0
22015,1610612761,TOR,Toronto Raptors,0021500066,2015-11-04,TOR @ OKC,W,240,103,33,79,0.418,5,14,0.357,32,39,0.821,12,33,45,12,14,3,14,16,5.0
22015,1610612761,TOR,Toronto Raptors,0021500057,2015-11-03,TOR @ DAL,W,241,102,37,82,0.451,5,17,0.294,23,26,0.885,10,37,47,18,8,6,16,26,11.0
22015,1610612761,TOR,Toronto Raptors,0021500042,2015-11-01,TOR vs. MIL,W,238,106,41,90,0.456,11,25,0.44,13,20,0.65,18,28,46,22,12,3,13,19,19.0
22015,1610612761,TOR,Toronto Raptors,0021500024,2015-10-30,TOR @ BOS,W,240,113,36,82,0.439,11,26,0.423,30,35,0.857,9,44,53,23,11,3,21,33,10.0
22015,1610612761,TOR,Toronto Raptors,0021500009,2015-10-28,TOR vs. IND,W,239,106,36,80,0.45,7,18,0.389,27,39,0.692,9,41,50,19,8,2,20,24,7.0
12015,1610612761,TOR,Toronto Raptors,0011500107,2015-10-23,TOR vs. WAS,W,239,92,33,92,0.359,7,23,0.304,19,22,0.864,18,36,54,19,9,1,11,21,10.0
12015,1610612761,TOR,Toronto Raptors,0011500078,2015-10-18,TOR vs. CLE,W,240,87,33,86,0.384,7,25,0.28,14,24,0.583,8,33,41,22,11,6,11,20,6.0
12015,1610612761,TOR,Toronto Raptors,0011500058,2015-10-14,TOR @ MIN,L,241,87,31,68,0.456,9,24,0.375,16,24,0.667,6,26,32,17,13,2,18,25,-2.0
12015,1610612761,TOR,Toronto Raptors,0011500048,2015-10-12,TOR vs. MIN,W,238,112,36,77,0.468,9,25,0.36,31,42,0.738,9,36,45,14,3,9,16,29,7.0
12015,1610612761,TOR,Toronto Raptors,0011500028,2015-10-08,TOR @ LAL,W,239,105,37,76,0.487,10,21,0.476,21,30,0.7,12,27,39,21,4,3,12,27,8.0
12015,1610612761,TOR,Toronto Raptors,0011500009,2015-10-05,TOR @ GSW,L,240,87,32,85,0.376,4,16,0.25,19,23,0.826,15,33,48,15,10,0,14,19,-8.0
12015,1610612761,TOR,Toronto Raptors,0011500005,2015-10-04,TOR vs. LAC,W,241,93,31,73,0.425,2,11,0.182,29,36,0.806,9,39,48,11,12,6,19,25,20.0
22015,1610612761,TOR,Toronto Raptors,1521500060,2015-07-17,TOR vs. POR,L,199,64,24,69,0.348,3,23,0.13,13,18,0.722,11,35,46,11,8,7,16,23,-8.0
22015,1610612761,TOR,Toronto Raptors,1521500051,2015-07-16,TOR vs. CHI,L,200,80,27,70,0.386,4,14,0.286,22,34,0.647,17,39,56,13,6,10,18,27,-4.0
22015,1610612761,TOR,Toronto Raptors,1521500029,2015-07-13,TOR @ HOU,W,199,95,33,69,0.478,4,16,0.25,25,38,0.658,9,43,52,11,7,9,22,36,8.0
22015,1610612761,TOR,Toronto Raptors,1521500017,2015-07-12,TOR vs. CHI,W,201,81,31,75,0.413,5,18,0.278,14,22,0.636,13,30,43,10,7,6,13,29,15.0
22015,1610612761,TOR,Toronto Raptors,1521500002,2015-07-10,TOR vs. SAC,W,200,90,35,72,0.486,4,18,0.222,16,25,0.64,9,28,37,16,13,5,14,25,22.0
42016,1610612761,TOR,Toronto Raptors,0041600214,2017-05-07,TOR vs. CLE,L,240,102,40,85,0.471,10,29,0.345,12,15,0.8,8,29,37,28,7,3,11,18,-7.0
42016,1610612761,TOR,Toronto Raptors,0041600213,2017-05-05,TOR vs. CLE,L,238,94,38,87,0.437,2,18,0.111,16,17,0.941,1,24,25,17,9,4,4,21,-21.0
42016,1610612761,TOR,Toronto Raptors,0041600212,2017-05-03,TOR @ CLE,L,242,103,42,90,0.467,5,17,0.294,14,19,0.737,8,29,37,21,8,4,13,21,-22.0
42016,1610612761,TOR,Toronto Raptors,0041600211,2017-05-01,TOR @ CLE,L,239,105,39,89,0.438,10,26,0.385,17,20,0.85,8,35,43,22,5,5,12,22,-11.0
42016,1610612761,TOR,Toronto Raptors,0041600126,2017-04-27,TOR @ MIL,W,241,92,32,70,0.457,9,22,0.409,19,23,0.826,11,32,43,14,9,4,14,20,3.0
42016,1610612761,TOR,Toronto Raptors,0041600125,2017-04-24,TOR vs. MIL,W,239,118,41,71,0.577,12,27,0.444,24,26,0.923,5,35,40,28,10,6,17,24,25.0
42016,1610612761,TOR,Toronto Raptors,0041600124,2017-04-22,TOR @ MIL,W,240,87,33,80,0.413,5,22,0.227,16,17,0.941,4,37,41,16,11,6,12,19,11.0
42016,1610612761,TOR,Toronto Raptors,0041600123,2017-04-20,TOR @ MIL,L,240,77,24,71,0.338,6,22,0.273,23,30,0.767,9,31,40,11,6,4,15,21,-27.0
42016,1610612761,TOR,Toronto Raptors,0041600122,2017-04-18,TOR vs. MIL,W,240,106,37,77,0.481,14,29,0.483,18,25,0.72,6,34,40,24,6,4,12,22,6.0
42016,1610612761,TOR,Toronto Raptors,0041600121,2017-04-15,TOR vs. MIL,L,242,83,27,75,0.36,5,23,0.217,24,33,0.727,8,39,47,15,3,4,10,21,-14.0
22016,1610612761,TOR,Toronto Raptors,0021601218,2017-04-12,TOR @ CLE,W,239,98,40,86,0.465,8,26,0.308,10,16,0.625,12,36,48,20,8,2,8,20,15.0
22016,1610612761,TOR,Toronto Raptors,0021601196,2017-04-09,TOR @ NYK,W,240,110,40,77,0.519,10,31,0.323,20,23,0.87,5,36,41,20,8,1,10,14,13.0
22016,1610612761,TOR,Toronto Raptors,0021601180,2017-04-07,TOR vs. MIA,W,239,96,35,85,0.412,9,20,0.45,17,24,0.708,12,32,44,14,10,4,15,24,2.0
22016,1610612761,TOR,Toronto Raptors,0021601166,2017-04-05,TOR @ DET,W,241,105,41,87,0.471,10,30,0.333,13,15,0.867,7,29,36,29,7,2,11,14,3.0
22016,1610612761,TOR,Toronto Raptors,0021601157,2017-04-04,TOR @ IND,L,240,90,34,76,0.447,5,23,0.217,17,19,0.895,6,34,40,11,7,5,13,19,-18.0
22016,1610612761,TOR,Toronto Raptors,0021601147,2017-04-02,TOR vs. PHI,W,241,113,46,85,0.541,6,19,0.316,15,19,0.789,10,27,37,25,12,9,15,19,8.0
22016,1610612761,TOR,Toronto Raptors,0021601126,2017-03-31,TOR vs. IND,W,240,111,37,82,0.451,14,27,0.519,23,35,0.657,16,37,53,23,7,5,14,23,11.0
22016,1610612761,TOR,Toronto Raptors,0021601114,2017-03-29,TOR vs. CHA,L,240,106,38,83,0.458,11,31,0.355,19,24,0.792,13,31,44,23,4,7,13,22,-4.0
22016,1610612761,TOR,Toronto Raptors,0021601097,2017-03-27,TOR vs. ORL,W,240,131,49,83,0.59,10,15,0.667,23,35,0.657,9,34,43,24,7,8,15,25,19.0
22016,1610612761,TOR,Toronto Raptors,0021601084,2017-03-25,TOR @ DAL,W,241,94,39,81,0.481,9,21,0.429,7,9,0.778,12,32,44,22,9,3,14,21,8.0
22016,1610612761,TOR,Toronto Raptors,0021601068,2017-03-23,TOR @ MIA,W,240,101,35,79,0.443,6,23,0.261,25,32,0.781,11,40,51,10,9,3,17,21,17.0
22016,1610612761,TOR,Toronto Raptors,0021601051,2017-03-21,TOR vs. CHI,W,264,122,47,95,0.495,8,23,0.348,20,27,0.741,16,34,50,18,6,4,16,23,2.0
22016,1610612761,TOR,Toronto Raptors,0021601040,2017-03-19,TOR vs. IND,W,240,116,45,91,0.495,12,27,0.444,14,16,0.875,14,37,51,25,7,7,16,20,25.0
22016,1610612761,TOR,Toronto Raptors,0021601023,2017-03-17,TOR @ DET,W,239,87,30,78,0.385,9,27,0.333,18,20,0.9,8,45,53,19,5,2,12,21,12.0
22016,1610612761,TOR,Toronto Raptors,0021601015,2017-03-16,TOR vs. OKC,L,241,102,37,81,0.457,5,20,0.25,23,30,0.767,6,26,32,15,10,10,14,20,-21.0
22016,1610612761,TOR,Toronto Raptors,0021600992,2017-03-13,TOR vs. DAL,W,239,100,37,78,0.474,9,25,0.36,17,18,0.944,9,46,55,19,7,6,12,16,22.0
22016,1610612761,TOR,Toronto Raptors,0021600979,2017-03-11,TOR @ MIA,L,239,89,33,88,0.375,2,15,0.133,21,25,0.84,16,32,48,7,6,5,12,20,-15.0
22016,1610612761,TOR,Toronto Raptors,0021600969,2017-03-10,TOR @ ATL,L,240,99,37,92,0.402,4,25,0.16,21,27,0.778,16,30,46,19,17,5,11,28,-6.0
22016,1610612761,TOR,Toronto Raptors,0021600953,2017-03-08,TOR @ NOP,W,241,94,36,76,0.474,8,21,0.381,14,23,0.609,8,34,42,21,6,6,11,18,7.0
22016,1610612761,TOR,Toronto Raptors,0021600920,2017-03-04,TOR @ MIL,L,239,94,35,75,0.467,7,21,0.333,17,20,0.85,3,33,36,20,2,4,11,23,-7.0
22016,1610612761,TOR,Toronto Raptors,0021600910,2017-03-03,TOR @ WAS,W,241,114,41,81,0.506,11,25,0.44,21,27,0.778,11,40,51,16,5,9,17,23,8.0
22016,1610612761,TOR,Toronto Raptors,0021600896,2017-03-01,TOR vs. WAS,L,241,96,33,90,0.367,7,20,0.35,23,26,0.885,16,34,50,11,8,4,11,18,-9.0
22016,1610612761,TOR,Toronto Raptors,0021600882,2017-02-27,TOR @ NYK,W,242,92,33,78,0.423,7,26,0.269,19,23,0.826,11,30,41,12,9,3,12,18,1.0
22016,1610612761,TOR,Toronto Raptors,0021600878,2017-02-26,TOR vs. POR,W,240,112,42,78,0.538,7,20,0.35,21,27,0.778,5,34,39,16,7,5,10,24,6.0
22016,1610612761,TOR,Toronto Raptors,0021600858,2017-02-24,TOR vs. BOS,W,241,107,40,81,0.494,5,15,0.333,22,29,0.759,10,31,41,15,7,4,9,21,10.0
